# CH340 link trials — reTerminal E1002 on /dev/cu.usbserial-210 — 2026-09-06, 12:17-12:28 PDT
# esptool v5.4.0. Every trial is a read; nothing was written to the device.

## Short reads, 256 kB from 0x0 unless noted

CONFIG                     RESULT     DETAIL
460800 + stub              FAIL       A fatal error occurred: Invalid head of packet (0x0B): Possible serial noise or corruption.
230400 + stub              FAIL       A fatal error occurred: Corrupt data, expected 0x1000 bytes but received 0xfc7 bytes.
115200 + stub (1st)        OK         262144 bytes
115200 + stub, try 1       FAIL       A fatal error occurred: Corrupt data, expected 0x1000 bytes but received 0xffe bytes.
115200 + stub, try 2       FAIL       A fatal error occurred: Corrupt data, expected 0x1000 bytes but received 0xfed bytes.
115200 + stub, try 3       OK         262144 bytes
115200 --no-stub           OK         262144 bytes
57600 + stub, 512 kB       OK         524288 bytes
115200 --no-stub, try 1    OK         47s
115200 --no-stub, try 2    OK         48s
115200 --no-stub, try 3    OK         48s

## Summary
115200 + stub      : 2 of 5 short reads passed;  ~10.8 kB/s while running
115200 --no-stub   : 4 of 4 short reads passed;  ~5.45 kB/s (256 kB in 47-48s)
57600  + stub      : 1 of 1 passed at 512 kB
230400/460800/921600 : no read completed at any size
